class,Hopp_Woods_R,basic_polar,Rose_I,Janin_W,aromatic,Janin_P,Cornette_C,Kyte_Doolittle_I,Janin_D,hydrophily,Kyte_Doolittle_A,Cornette_V,Engelman_GES_W,Cornette_T,Engelman_GES_D,Eisenberg_R
0.0,0.27,0.19,0.04,0.0,0.066666667,-0.01,0.03,0.19,-0.04,0.38,0.12,0.2,0.0,-0.13,-0.61,-0.23
0.0,0.26,0.21,0.03,0.0,0.071428571,-0.01,0.07,0.18,-0.05,0.39,0.13,0.19,0.0,-0.12,-0.8,-0.22
0.0,0.32,0.23,0.04,0.0,0.019607843,-0.01,0.08,0.22,-0.01,0.4,0.11,0.51,0.0,-0.06,-0.18,-0.27
0.0,0.38,0.21,0.02,0.0,0.010526316,-0.02,0.13,0.09,-0.01,0.43,0.19,0.3,0.0,0.0,-0.19,-0.32
0.0,0.21,0.22,0.05,0.0,0.034782609,-0.01,0.07,0.27,-0.02,0.35,0.09,0.2,0.0,-0.1,-0.32,-0.18
0.0,0.17,0.23,0.04,0.0,0.049180327999999995,-0.01,0.1,0.22,-0.03,0.35,0.1,0.12,0.0,-0.12,-0.53,-0.15
0.0,0.23,0.17,0.03,0.0,0.033613445,-0.02,0.1,0.15,-0.02,0.37,0.21,0.43,0.0,-0.13,-0.31,-0.19
0.0,0.15,0.11,0.02,0.0,0.043126685,-0.02,0.09,0.12,-0.03,0.34,0.1,0.24,0.03,-0.09,-0.49,-0.13
0.0,0.19,0.17,0.06,0.01,0.064220183,-0.02,0.04,0.29,-0.04,0.4,0.05,0.26,0.03,-0.1,-0.59,-0.16
0.0,0.14,0.16,0.07,0.0,0.028846154,-0.02,0.04,0.35,-0.03,0.39,0.14,0.23,0.02,-0.11,-0.44,-0.12
0.0,0.2,0.18,0.04,0.0,0.074509804,-0.01,0.03,0.19,-0.04,0.38,0.08,0.37,0.01,-0.07,-0.69,-0.17
0.0,0.1,0.11,0.04,0.0,0.045234249000000004,-0.02,0.03,0.21,-0.03,0.34,0.12,0.45,0.01,-0.15,-0.49,-0.08
0.0,0.11,0.13,0.04,0.0,0.032040472,-0.02,0.06,0.22,-0.02,0.33,0.14,0.5,0.01,-0.18,-0.36,-0.09
0.0,0.16,0.15,0.02,0.01,0.09433962300000001,-0.01,0.08,0.12,-0.05,0.35,0.12,0.15,0.05,-0.07,-0.69,-0.14
0.0,0.16,0.15,0.03,0.01,0.139622642,-0.01,0.17,0.15,-0.03,0.31,0.08,0.18,0.06,-0.1,-0.52,-0.13
0.0,0.13,0.1,0.02,0.0,0.049065421,-0.04,0.03,0.13,-0.01,0.34,0.16,0.31,0.02,-0.1,-0.21,-0.11
0.0,0.1,0.13,0.04,0.0,0.066339066,-0.03,0.03,0.2,-0.02,0.33,0.15,0.2,0.02,-0.09,-0.32,-0.09
0.0,0.17,0.15,0.03,0.01,0.096666667,-0.03,0.03,0.14,-0.04,0.38,0.08,0.16,0.04,-0.12,-0.64,-0.14
0.0,0.14,0.13,0.03,0.01,0.092592593,-0.03,0.04,0.14,-0.03,0.35,0.11,0.2,0.04,-0.13,-0.49,-0.12
0.0,0.1,0.1,0.02,0.01,0.102345416,-0.02,0.09,0.12,-0.04,0.33,0.07,0.23,0.04,-0.09,-0.55,-0.09
0.0,0.18,0.15,0.03,0.0,0.107942974,-0.03,0.1,0.13,-0.03,0.39,0.08,0.18,0.02,-0.05,-0.49,-0.15
0.0,0.44,0.22,0.02,0.01,0.10483871,-0.02,0.13,0.11,-0.02,0.39,0.1,0.11,0.05,-0.06,-0.37,-0.37
0.0,0.23,0.19,0.05,0.01,0.162790698,-0.02,0.03,0.24,-0.02,0.36,0.07,0.22,0.06,-0.04,-0.29,-0.2
0.0,0.26,0.17,0.03,0.01,0.140625,-0.02,0.06,0.14,-0.03,0.38,0.13,0.22,0.04,-0.04,-0.43,-0.22
0.0,0.13,0.13,0.03,0.01,0.099557522,-0.03,0.04,0.14,-0.03,0.35,0.1,0.22,0.04,-0.1,-0.49,-0.11
0.0,0.18,0.14,0.02,0.01,0.079365079,-0.03,0.09,0.1,-0.02,0.3,0.19,0.29,0.06,-0.08,-0.27,-0.15
0.0,0.19,0.14,0.05,0.01,0.087591241,-0.01,0.07,0.28,-0.03,0.34,0.1,0.33,0.06,-0.12,-0.5,-0.16
0.0,0.09,0.1,0.05,0.0,0.041884817000000005,-0.02,0.04,0.27,-0.03,0.31,0.12,0.47,0.01,-0.16,-0.43,-0.07
0.0,0.17,0.17,0.06,0.0,0.063492063,-0.01,0.16,0.32,-0.03,0.33,0.11,0.37,0.03,-0.08,-0.51,-0.14
0.0,0.25,0.24,0.04,0.0,0.010309278,-0.02,0.0,0.19,-0.03,0.39,0.19,0.19,0.0,-0.16,-0.47,-0.21
0.0,0.34,0.18,0.02,0.0,0.045454545,-0.02,0.09,0.1,-0.02,0.41,0.16,0.11,0.02,-0.04,-0.31,-0.29
0.0,0.16,0.19,0.02,0.0,0.061946903,-0.01,0.04,0.12,-0.02,0.35,0.18,0.29,0.02,-0.05,-0.33,-0.13
0.0,0.52,0.24,0.02,0.0,0.032608696,-0.02,0.04,0.1,-0.03,0.52,0.12,0.31,0.0,-0.04,-0.5,-0.44
0.0,0.33,0.19,0.05,0.0,0.046875,-0.01,0.03,0.25,-0.03,0.33,0.13,0.26,0.0,-0.12,-0.43,-0.28
0.0,0.14,0.14,0.05,0.0,0.099616858,-0.02,0.03,0.28,-0.02,0.34,0.11,0.23,0.01,-0.08,-0.32,-0.12
